Gene/Factor,"Cell Type(s)","Context/Function","Source(s)"
"CD36","MEP; EP; MK (SF3B1mut)","Erythroid/Meg lineage marker; protein overexpressed in SF3B1mut EPs; progenitor-specific cryptic splice site in SF3B1mut MDS","Cortés-López 2023 Suppl.;Cortés-López 2023 (Cell Stem Cell)"
"CD38","Progenitors (MPP; CLP; CMP; GMP; MEP); SF3B1mut cells","Progenitor marker; protein overexpressed in SF3B1mut cells","Cortés-López 2023 Suppl.;Buenrostro 2018;Cortés-López 2023 (Cell Stem Cell)"
"CD45","Hematopoietic cells; reprogrammed fibroblasts/ECs","Pan-hematopoietic marker","Barcia Durán 2019;Daniel 2016;Daniel 2019"
"CD45RA","LMPP; CLP; GMP; pDC","Surface marker used in progenitor sorting","Buenrostro 2018"
"CD47","Hematopoietic progenitors","Protein marker measured by CITE-seq","Cortés-López 2023 Suppl."
"CD49f","Hematopoietic progenitors","Protein marker measured by CITE-seq","Cortés-López 2023 Suppl."
"CD71","MEP; EP (SF3B1mut)","Erythroid lineage marker; protein overexpressed in SF3B1mut EPs; used in progenitor sorting","Cortés-López 2023 Suppl.;Cortés-López 2023 (Cell Stem Cell);Pellin 2019"
"CD74","Hematopoietic progenitors","Example variable gene in scRNA-seq matching","Buenrostro 2018"
"CD84","Hematopoietic progenitors","Protein marker measured by CITE-seq","Cortés-López 2023 Suppl."
"CD90","HSC; MPP","Surface marker used in defining HSC/MPP","Buenrostro 2018"
"CD99","IMP (SF3B1mut)","Protein marker; overexpressed in SF3B1mut IMPs","Cortés-López 2023 Suppl.;Cortés-López 2023 (Cell Stem Cell)"
"CDC27","CH cells (SF3B1mut)","Gene with cryptic 3' splice site event in SF3B1mut CH cells","Cortés-López 2023 (Cell Stem Cell)"
"Cdx4","mESCs (differentiation context)","TF involved in embryonic hematopoiesis through activation of posterior Hox genes; used with HoxB4","Daniel 2016"
"CEBPA","B cells (reprogramming); Myeloid progenitors","TF; induces macrophage fate in B cells; C/EBP family","Barcia Durán 2019"
"CEBPB","Hematopoietic progenitors","TF; motif variability high in hematopoietic CALs; motif accessibility dynamics during myeloid differentiation; TF differentially expressed along myeloid branch","Buenrostro 2018;Pellin 2019"
"CEBPD","Myeloid lineage (CMP->GMP->Mono)","TF; motif accessibility increases early in myeloid differentiation; C/EBP family","Buenrostro 2018"
"CEBPE","LMPP -> GMP","TF motif variability correlated with GMP differentiation in LMPPs","Buenrostro 2018"
"CENPT","Hematopoietic progenitors (SF3B1mut)","Gene related to cell cycle; progenitor-specific cryptic 3' splice site in SF3B1mut MDS","Cortés-López 2023 (Cell Stem Cell)"
"cFOS","MEF (reprogramming context)","Part of AP-1 complex; TF used in reprogramming cocktail (MEFs to HSC-like)","Barcia Durán 2019;Daniel 2016;Daniel 2019"
"CHTOP","Hematopoietic progenitors (SF3B1mut)","Gene related to RNA processing; progenitor-specific cryptic 3' splice site in SF3B1mut MDS","Cortés-López 2023 (Cell Stem Cell)"
"CIAO1","Hematopoietic progenitors (SF3B1mut)","Gene related to heme metabolism; progenitor-specific cryptic 3' splice site in SF3B1mut MDS","Cortés-López 2023 (Cell Stem Cell)"
"c-Kit","Hematopoietic progenitors","Receptor tyrosine kinase; regulates expansion and function; inhibited by Lnk","Daniel 2016"
"CLC","Hematopoietic progenitors","Example variable gene in scRNA-seq matching","Buenrostro 2018"
"COPS2","CH cells (SF3B1mut)","Gene with cryptic 3' splice site event in SF3B1mut CH cells","Cortés-López 2023 (Cell Stem Cell)"
"COX8A","Hematopoietic progenitors","Example variable gene in scRNA-seq matching","Buenrostro 2018"
"CTCF","HSC","TF motif variability high but uncorrelated with differentiation direction in HSCs","Buenrostro 2018"
"CXCR4","EC (reprogramming context)","Signaling pathway; activation favors HSC reprogramming from ECs","Barcia Durán 2019"
"CXCR7","EC (reprogramming context)","Signaling pathway; inhibition favors HSC reprogramming from ECs","Barcia Durán 2019"
"CYP3A4/CYP3A5","General (pharmacogenetics)","Genes involved in tacrolimus metabolism; polymorphism affects GVHD risk","Ballen et al. 2024"
"DAP3","AML cells (U2AF1mut)","Gene with exon skipping event in U2AF1mut AML cells","Cortés-López 2023 (Cell Stem Cell)"
"DDX5/DDX17","EP (SF3B1mut)","DEAD-box helicases; upregulated in SF3B1mut EPs","Cortés-López 2023 (Cell Stem Cell)"
"DLL1","Aortic tissue cells","NOTCH ligand; used as example of context-dependent gene embedding","Theodoris 2023 Suppl."
"DLST","MDS validation cohort cells (SF3B1mut)","Gene with cryptic 3' splice site event in MDS validation cohort","Cortés-López 2023 Suppl."
"DNMT3A","CH cells (mutated)","DNA methyltransferase; R882 mutation studied using GoT-Splice","Cortés-López 2023 (Cell Stem Cell)"
"DNAJB8","Hematopoietic progenitors","Gene near differentially accessible region around GATA2","Buenrostro 2018"
"DNAJC4","CH cells (SF3B1mut)","Gene with cryptic 3' splice site event in SF3B1mut CH cells","Cortés-López 2023 (Cell Stem Cell)"
"DPH5","MDS cells (SF3B1mut)","Gene with alternative 3' splice site usage compared between SF3B1mut and WT","Cortés-López 2023 Suppl."
"DUSP12","CH cells (SF3B1mut)","Gene with cryptic 3' splice site event in SF3B1mut CH cells","Cortés-López 2023 (Cell Stem Cell)"
"EBF1","CLP; Lymphoid lineage","TF; motif accessibility high in CLP cluster; essential for B cell development; TF differentially expressed along lymphoid branch","Buenrostro 2018;Pellin 2019"
"EFCAB9","Hematopoietic progenitors","Gene near differentially accessible region around GATA2","Buenrostro 2018"
"EIF3/EIF3A","EP (SF3B1mut)","Eukaryotic initiation factor; upregulated in SF3B1mut EPs","Cortés-López 2023 (Cell Stem Cell)"
"EIF5/EIF5A","EP (SF3B1mut)","Eukaryotic initiation factor; upregulated in SF3B1mut EPs","Cortés-López 2023 (Cell Stem Cell)"
"EPCR","Human dermal fibroblasts (HDFs)","Marker for hemogenic endothelial-like cells derived from reprogrammed fibroblasts","Daniel 2019"
"ERG","HSC; Hematopoietic progenitors; ECs; PCS (reprogramming context)","Part of TF heptad; hematopoietic Hox target; motif accessibility changes; used in reprogramming cocktails (PCS -> myeloid; EC/Fibroblast -> HSPC)","Barcia Durán 2019;Buenrostro 2018;Daniel 2016"
"ERGIC3","MDS/CH cells (SF3B1mut)","Gene with cryptic 3' splice site in SF3B1mut cells (MDS and CH)","Cortés-López 2023 Suppl.;Cortés-López 2023 (Cell Stem Cell)"
"ESRRA","Myeloid lineage (HSC->CMP->GMP->Mono)","TF motif accessibility changes during myeloid differentiation","Buenrostro 2018"
"ESRRG","iPSC-derived cardiomyocytes","Gene targeted for knockout in experimental testing of dilated cardiomyopathy candidates","Theodoris 2023 Suppl."
"ETV2","PCS (reprogramming context)","ETS factor; used in TF reprogramming cocktail (PCS -> myeloid)","Daniel 2016"
"ETV4","Myeloid lineage (HSC->CMP->GMP->Mono)","TF motif accessibility changes during myeloid differentiation","Buenrostro 2018"
"ETV6","MEF (reprogramming context)","Hematopoietic Hox target; TF used in reprogramming cocktail (MEFs to HSC-like)","Barcia Durán 2019;Daniel 2016"
"EXO1","MDS validation cohort cells (SF3B1mut)","Gene with cryptic 3' splice site event overlapping between MDS cohorts","Cortés-López 2023 Suppl."
"FLI1","Hematopoietic progenitors","Part of TF heptad; RUNX1 target; TF; used in TF cocktail for EC reprogramming","Barcia Durán 2019;Buenrostro 2018;Daniel 2019"
"FLT3","Hematopoietic progenitors","Example variable gene in scRNA-seq matching","Buenrostro 2018"
"Flt3L","General (cytokine)","Cytokine used in hematopoietic expansion/differentiation media","Daniel 2016"
"FOSB","EC (reprogramming context)","Part of AP-1 complex; used in reprogramming ECs to HSPCs","Barcia Durán 2019;Daniel 2019"
"FOXJ3","Myeloid lineage (HSC->CMP->GMP->Mono)","TF motif accessibility changes during myeloid differentiation","Buenrostro 2018"
"FOXO4","Myeloid lineage (HSC->CMP->GMP->Mono)","TF motif accessibility changes during myeloid differentiation","Buenrostro 2018"
"FOXRED1","EP (SF3B1mut)","Gene involved in erythroid differentiation; mis-spliced (cryptic 3' ss) in SF3B1mut EPs","Cortés-López 2023 (Cell Stem Cell)"
"FOXP3","Myeloid lineage (HSC->CMP->GMP->Mono)","TF motif accessibility changes during myeloid differentiation","Buenrostro 2018"
"GAPDH","Various (aortic tissue)","Housekeeping gene; used as control in context-dependence analysis","Theodoris 2023 Suppl."
"GATA1","MEP; EB; MK; Erythroid lineage (MEP -> EP)","Key TF for erythroid/megakaryocytic lineage; motif accessibility high in erythroid branch; GATA factor switch with GATA2; cryptic 3' splice site; TF differentially expressed along erythroid branch","Buenrostro 2018;Cortés-López 2023 (Cell Stem Cell);Barcia Durán 2019;Pellin 2019"
"GATA2","HSC; Progenitors (CMP; MEP; etc.); MEF; PCS; Fibroblasts","Key TF for HSC/progenitor maintenance; part of heptad; used in reprogramming cocktails; motif accessibility decreases during myeloid diff.; TF differentially expressed along basophil branch","Buenrostro 2018;Barcia Durán 2019;Theodoris 2023 Suppl.;Daniel 2016;Daniel 2019;Pellin 2019"
"GATA3","HSC","TF; expression correlated with GATA motif accessibility; potential role in HSC lineage priming","Buenrostro 2018"
"GATA4","iPSC-derived cardiomyocytes; Fetal cardiomyocytes","TF; involved in heart defects; direct/indirect targets studied; used as example","Theodoris 2023 Suppl."
"G-CSF","General (cytokine)","Cytokine used in hematopoietic expansion/differentiation media","Daniel 2016"
"GFI1","Hematopoietic progenitors; ECs","RUNX1 target; TF; used in TF cocktail for EC reprogramming","Barcia Durán 2019;Daniel 2019"
"GFI1B","MEF (reprogramming context); Fibroblasts","TF used in reprogramming cocktail (MEFs to HSC-like; Fibroblast to HSPC-like)","Barcia Durán 2019;Daniel 2016;Daniel 2019"
"GNB1","Hematopoietic progenitors","Gene near differentially accessible region around GATA2","Buenrostro 2018"
"GSN","iPSC-derived cardiomyocytes","Gene targeted for knockout in experimental testing of dilated cardiomyopathy candidates","Theodoris 2023 Suppl."
"GYPA","EP (SF3B1mut)","Erythroid gene; cryptic 3' splice site event (NMD-inducing) increases later in SF3B1mut EP maturation","Cortés-López 2023 (Cell Stem Cell)"
"H2B-GFP","HSPC","Reporter used to track HSPCs in pulse-chase studies","Barcia Durán 2019;Daniel 2016"
"HDC","Basophil progenitors","TF differentially expressed along basophil branch","Pellin 2019"
"HDAC6","CMP","Example gene with differential accessibility in CMP clusters","Buenrostro 2018"
"HEY2","hESC-derived cardiomyocytes","Involved in NKX2-5 transcriptional network in cardiomyogenesis","Theodoris 2023 Suppl."
"HIF1A","HSPC; Hematopoietic progenitors (SF3B1mut)","Oxygen homeostasis gene; progenitor-specific cryptic 3' splice site in SF3B1mut MDS; mediates response to low oxygen in HSCs","Barcia Durán 2019;Cortés-López 2023 (Cell Stem Cell)"
"HLF","B-cell progenitors (reprogramming context)","Hematopoietic Hox target; TF used in reprogramming cocktail (B-cells to iHSCs)","Barcia Durán 2019"
"HMGB1","iPSC-derived cardiomyocytes","Gene targeted for knockout in experimental testing of dilated cardiomyopathy candidates","Theodoris 2023 Suppl."
"HNRNPA1","CH validation sample cells (SF3B1mut)","Gene with exon skipping/inclusion event in SF3B1mut CH validation sample","Cortés-López 2023 Suppl."
"HOPX","Hematopoietic progenitors","Lineage-specific gene marker","Cortés-López 2023 Suppl.;Cortés-López 2023 (Cell Stem Cell)"
"HOXA5","PCS (reprogramming context); CMP","Used in reprogramming PCS to HSPCs; expressed heterogeneously in CMPs","Barcia Durán 2019;Buenrostro 2018;Daniel 2016"
"HOXA9","HSC; LMPP; Myeloid lineage; PCS (reprogramming context)","TF motif accessibility highest in HSC/LMPP; motif accessibility changes during myeloid differentiation; used in reprogramming cocktails (PCS -> HSPC)","Buenrostro 2018;Daniel 2016"
"HOXA10","PCS (reprogramming context)","Used in reprogramming PCS to HSPCs","Daniel 2016"
"HOXB4","mESCs (differentiation context)","TF involved in embryonic hematopoiesis; used in early attempts to reprogram mESCs to hematopoietic cells","Daniel 2016"
"HOXB6","Myeloid lineage","TF expression decreases during myeloid differentiation","Buenrostro 2018"
"HOXB7","Myeloid lineage","TF expression decreases during myeloid differentiation","Buenrostro 2018"
"HOXB8","HSC; Myeloid lineage","TF motif accessibility high in HSCs, decreases during myeloid differentiation","Buenrostro 2018"
"HOXB9","PCS (reprogramming context)","Used in reprogramming PCS to HSPCs","Daniel 2016"
"ID3","Lymphoid lineage (LMPP -> CLP)","TF motif accessibility high in lymphoid branch","Buenrostro 2018"
"IGLL1","CH cells (SF3B1mut)","Gene with cryptic 3' splice site event in SF3B1mut CH cells","Cortés-López 2023 (Cell Stem Cell)"
"IKZF1","ALL cells","Gene associated with higher risk in ALL, potentially relevant to Latinx outcomes","Ballen et al. 2024"
"IL3","General (cytokine)","Cytokine used in reprogramming/differentiation cocktails","Barcia Durán 2019;Buenrostro 2018;Daniel 2016"
"IL6","General (cytokine)","Cytokine used in reprogramming cocktails","Daniel 2016"
"IL7","Myeloid lineage","Gene near reactivated regulatory element during myeloid differentiation","Buenrostro 2018"
"IRF1","GMP","TF motif difference between GMP K9/K10 clusters","Buenrostro 2018"
"IRF2","Myeloid lineage","TF expression increases during myeloid differentiation","Buenrostro 2018"
"IRF4","GMP (GMP-C subset)","Upregulated in GMP-C subset of GMPs","Buenrostro 2018"
"IRF8","Myeloid lineage (GMP -> Mono)","TF motif accessibility increases sharply in GMP->Mono transition; marker for myeloid commitment; TF differentially expressed along myeloid branch","Buenrostro 2018;Cortés-López 2023 Suppl.;Cortés-López 2023 (Cell Stem Cell);Pellin 2019"
"ITGA2B","(CD41a) MK; MDS cells","Gene with cryptic 3' splice site event overlapping between MDS cohorts; MK maturation marker","Cortés-López 2023 Suppl."
"ITGAX","(CD11c) Monocytes","Gene near cis-eQTL affected by dynamic enhancer","Buenrostro 2018"
"JUND","Myeloid lineage (HSC->CMP->GMP->Mono)","TF motif accessibility changes during myeloid differentiation","Buenrostro 2018"
"KIN","AML cells (U2AF1mut)","Gene with exon skipping event in U2AF1mut AML cells","Cortés-López 2023 (Cell Stem Cell)"
"KLF1","Hematopoietic progenitors; Erythroid lineage","Example variable gene in scRNA-seq matching; TF differentially expressed along erythroid branch","Buenrostro 2018;Pellin 2019"
"KLF2","Myeloid lineage (HSC->CMP->GMP->Mono)","TF motif accessibility changes during myeloid differentiation","Buenrostro 2018"
"KLF4","Fibroblasts (reprogramming context)","Yamanaka factor; mentioned in context of fibroblast reprogramming","Theodoris 2023 Suppl."
"KRT13","MDS cells (SF3B1mut)","Gene with cryptic 3' splice site event","Cortés-López 2023 Suppl."
"LCOR","PCS (reprogramming context)","Used in reprogramming PCS to HSPCs","Daniel 2016"
"LGALS1","Hematopoietic progenitors","Example variable gene in scRNA-seq matching","Buenrostro 2018"
"LMO2","Hematopoietic progenitors; MEF; MAF (reprogramming context)","Part of TF heptad; used in reprogramming cocktail (MEFs/MAFs to HSC-like)","Barcia Durán 2019;Daniel 2016"
"Lnk","(SH2B3) Hematopoietic progenitors","Adaptor protein inhibiting c-Kit proliferation; knockout enhances hematopoietic potential from teratomas","Daniel 2016"
"LYL1","Hematopoietic progenitors; Myeloid lineage","Part of TF heptad; TF motif accessibility changes during myeloid differentiation","Barcia Durán 2019;Buenrostro 2018"
"MAFF","HSC","TF motif associated with HSC cluster","Buenrostro 2018"
"MAP3K7","MDS cells","Gene mis-spliced by SF3B1 mutation, causing anemia in MDS","Cortés-López 2023 (Cell Stem Cell)"
"MCM4","Hematopoietic progenitors","Gene near differentially accessible region around GATA2","Buenrostro 2018"
"MDM4","EP (SF3B1mut)","Works with TP53 in G1/S checkpoint; upregulated in SF3B1mut EPs","Cortés-López 2023 (Cell Stem Cell)"
"MECOM","Myeloid lineage","TF expression decreases during myeloid differentiation","Buenrostro 2018"
"MED6","CH cells (SF3B1mut); MDS validation cohort cells","Gene with cryptic 3' splice site event in SF3B1mut CH cells; also in MDS validation cohort","Cortés-López 2023 Suppl.;Cortés-López 2023 (Cell Stem Cell)"
"MEIS1","Hematopoietic progenitors; B-cell progenitors; Early progenitors","Part of Hox effector complex; TF used in reprogramming cocktail (B-cells to iHSCs); TF motif accessibility changes; TF differentially expressed along early progenitor branch","Barcia Durán 2019;Buenrostro 2018;Pellin 2019"
"MESP1","HSC","TF motif variability correlated with lymphoid trajectory in HSCs","Buenrostro 2018"
"METTL17","MDS cells (SF3B1mut)","Gene with cryptic 3' splice site event in SF3B1mut MDS cells","Cortés-López 2023 (Cell Stem Cell)"
"METTL26","MDS validation cohort cells (SF3B1mut)","Gene with cryptic 3' splice site event overlapping between MDS cohorts","Cortés-López 2023 Suppl."
"METTL5","MDS cells (SF3B1mut)","Gene with alternative 3' splice site usage compared between SF3B1mut and WT","Cortés-López 2023 Suppl."
"miR125b","Human foreskin fibroblasts (reprogramming context)","microRNA used in reprogramming cocktail (fibroblasts -> myeloid progenitors)","Barcia Durán 2019"
"MPO","Hematopoietic progenitors; Myeloid lineage","Lineage-specific gene marker; example variable gene; TF differentially expressed along myeloid branch","Buenrostro 2018;Cortés-López 2023 Suppl.;Cortés-López 2023 (Cell Stem Cell);Pellin 2019"
"MRPL52","CH cells (SF3B1mut)","Gene with cryptic 3' splice site event in SF3B1mut CH cells","Cortés-López 2023 (Cell Stem Cell)"
"MRPS18C","CH cells (SF3B1mut)","Gene with cryptic 3' splice site event in SF3B1mut CH cells","Cortés-López 2023 (Cell Stem Cell)"
"MS4A2","Basophil progenitors","TF differentially expressed along basophil branch","Pellin 2019"
"MYB","PCS (reprogramming context); EMPs","Used in reprogramming PCS to HSPCs","Barcia Durán 2019;Daniel 2016"
"MYC","Fibroblasts (reprogramming context)","Yamanaka factor; mentioned in context of fibroblast reprogramming","Theodoris 2023 Suppl."
"MYCN","B-cell progenitors (reprogramming context); MEF","Hematopoietic Hox target; TF used in reprogramming cocktail (B-cells to iHSCs; MEFs to eHBs)","Barcia Durán 2019"
"MYOD/MYOD1","Fibroblasts (reprogramming context); Myoblasts","TF; master regulator of myogenesis; used as example of reprogramming; used in in silico differentiation","Barcia Durán 2019;Theodoris 2023 Suppl.;Daniel 2016"
"MYL4","MDS cells (SF3B1mut)","Gene with alternative 3' splice site usage compared between SF3B1mut and WT","Cortés-López 2023 Suppl."
"MZB1","CH cells (SF3B1mut)","Gene with cryptic 3' splice site event in SF3B1mut CH cells","Cortés-López 2023 (Cell Stem Cell)"
"NAP1L4","CH cells (SF3B1mut)","Gene with cryptic 3' splice site event in SF3B1mut CH cells","Cortés-López 2023 (Cell Stem Cell)"
"NCOR1","CH cells (SF3B1mut)","Gene with cryptic 3' splice site event in SF3B1mut CH cells","Cortés-López 2023 (Cell Stem Cell)"
"NFE2","Erythroid lineage","TF differentially expressed along erythroid branch","Pellin 2019"
"NFKB1","Myeloid lineage (HSC->CMP->GMP->Mono)","TF motif accessibility changes during myeloid differentiation","Buenrostro 2018"
"NKX2-5","hESC-derived cardiomyocytes; Fetal cardiomyocytes","TF; direct target genes studied in context of GATA4 deletion in cardiomyocytes","Theodoris 2023 Suppl."
"NOTCH1","iPSC-derived ECs; Fetal cardiomyocytes; CLP; HE","TF; direct target genes studied in context of GATA4 deletion; receptor; regulates EHT","Theodoris 2023 Suppl.;Daniel 2016"
"NSMCE2","CH cells (SF3B1mut)","Gene with cryptic 3' splice site event in SF3B1mut CH cells","Cortés-López 2023 (Cell Stem Cell)"
"OCT4","Fibroblasts (reprogramming context); iPSCs","Pluripotency factor; used in reprogramming attempts (fibroblasts -> blood progenitors; fibroblast -> iPSCs)","Barcia Durán 2019;Theodoris 2023 Suppl.;Daniel 2016"
"OXA1L","CH cells (SF3B1mut)","Gene with cryptic 3' splice site event in SF3B1mut CH cells","Cortés-López 2023 (Cell Stem Cell)"
"p53","(TP53 gene) Hematopoietic progenitors (SF3B1mut); MEF","Involved in response to ribosomal stress; pathway upregulated in SF3B1mut cells (MDS); knockout mice used for reprogramming","Barcia Durán 2019;Cortés-López 2023 (Cell Stem Cell);Daniel 2016"
"PAX3","Myoblasts","TF involved in myoblast differentiation","Theodoris 2023 Suppl."
"PAX5","B cells; Myeloid lineage; Lymphoid lineage","TF; inhibited by Cebpa during B cell reprogramming; motif accessibility changes during myeloid differentiation; TF differentially expressed along lymphoid branch","Barcia Durán 2019;Buenrostro 2018;Pellin 2019"
"PBX1","B-cell progenitors (reprogramming context); Hematopoietic progenitors; Early progenitors","Part of Hox effector complex; TF used in reprogramming cocktail (B-cells to iHSCs); TF motif accessibility changes; TF differentially expressed along early progenitor branch","Barcia Durán 2019;Buenrostro 2018;Pellin 2019"
"PF4","Hematopoietic progenitors","Example variable gene in scRNA-seq matching","Buenrostro 2018"
"PFDN5","MDS cells","Gene with 2 unique cryptic 3' splice sites in MDS","Cortés-López 2023 Suppl."
"PITX2","MEF (reprogramming context)","Hematopoietic Hox target; TF used in reprogramming cocktail (MEFs to eHBs)","Barcia Durán 2019"
"PLEK","Hematopoietic progenitors","Lineage-specific gene marker","Cortés-López 2023 Suppl.;Cortés-López 2023 (Cell Stem Cell)"
"PLN","iPSC-derived cardiomyocytes","Gene targeted for knockout in experimental testing of dilated cardiomyopathy candidates","Theodoris 2023 Suppl."
"PPOX","EP (SF3B1mut)","Gene involved in heme metabolism; cryptic 3' splice site increases later in SF3B1mut EP maturation","Cortés-López 2023 (Cell Stem Cell)"
"PRDM1","Myeloid lineage (HSC->CMP->GMP->Mono)","TF motif accessibility changes during myeloid differentiation","Buenrostro 2018"
"PRDM5","B-cell progenitors (reprogramming context)","Repressor; TF used in reprogramming cocktail (B-cells to iHSCs)","Barcia Durán 2019"
"PRDM16","Early progenitors","TF differentially expressed along early progenitor branch","Pellin 2019"
"PRG2","Hematopoietic progenitors","Example variable gene in scRNA-seq matching","Buenrostro 2018"
"Prominin1","MEF (reprogramming intermediate)","Marker for putative HE-like precursor during fibroblast reprogramming","Daniel 2016"
"PRPF38A","Hematopoietic progenitors (SF3B1mut)","Gene related to RNA processing; progenitor-specific cryptic 3' splice site in SF3B1mut MDS","Cortés-López 2023 (Cell Stem Cell)"
"RARA","Myeloid lineage (HSC->CMP->GMP->Mono)","TF motif accessibility changes during myeloid differentiation","Buenrostro 2018"
"RBMX","MDS validation cohort cells (SF3B1mut)","Gene with cryptic 3' splice site event overlapping between MDS cohorts","Cortés-López 2023 Suppl."
"RBPJ","Aortic tissue cells","Transcription factor associated with Notch signaling","Theodoris 2023 Suppl."
"RELA","(NF-kB subunit) HSC","TF motif variability high but uncorrelated with differentiation direction in HSCs","Buenrostro 2018"
"RORA","PCS (derived myeloid precursors)","Nuclear receptor; Used in reprogramming cocktail (PCS -> myeloid/erythroid)","Daniel 2016"
"RPL22L1","MDS validation cohort cells (SF3B1mut)","Gene with cryptic 3' splice site event overlapping between MDS cohorts","Cortés-López 2023 Suppl."
"RPS29","EP (SF3B1mut)","Ribosome subunit; upregulated in SF3B1mut EPs","Cortés-López 2023 (Cell Stem Cell)"
"RSRC2","CH cells (SF3B1mut)","Gene with cryptic 3' splice site event in SF3B1mut CH cells","Cortés-López 2023 (Cell Stem Cell)"
"RUNX1/RUNX1a/RUNX1c","HSC; Progenitors; ECs; MEFs; PCS; Fibroblasts","Key TF for hematopoiesis; part of TF heptad; RUNX1 targets include SPI1, BMI1, GFI1; used in reprogramming cocktails (EBs, ECs, fibroblasts); essential for EHT","Barcia Durán 2019;Buenrostro 2018;Daniel 2016;Daniel 2019"
"RUNX1T1","B-cell progenitors (reprogramming context)","Repressor; TF used in reprogramming cocktail (B-cells to iHSCs)","Barcia Durán 2019"
"RUNX2","Myeloid lineage (HSC->CMP->GMP->Mono)","TF motif accessibility changes during myeloid differentiation","Buenrostro 2018"
"Sca1","MEF (reprogramming intermediate)","Marker for putative HE-like precursor during fibroblast reprogramming","Daniel 2016"
